ID,Sex,Researcher,SVL,TRUNK,LUS,LUZ,LUM,LUT,RUS,RUZ,RUM,RUT,LLS,LLZ,LLM,LLT,RLS,RLZ,RLM,RLT,PG,SG,HL,HH,HW,TL
Pm408,F,AH,60.52,33,5.08,6.6,2.21,6.2,4.4,6.59,2.72,6.01,11.5,8.99,4.57,10.26,11.23,9,3.24,10.83,6.16,7.09,12.79,5.34,7.18,106.69
Pm408,F,AH,60.54,32.79,5.27,6.6,2.24,6.41,4.75,6.77,2.41,6.37,11.55,8.91,4.56,10.2,11.19,9.01,3.41,10.63,6.72,7.39,12.75,5.76,7.06,108.18
Pm380,F,AH,61.37,33.41,4.75,7.36,2.29,5.37,5.13,7,2.11,5.59,11.19,8.81,4.52,9.94,11.47,9.03,3.75,NA,6.93,6.47,13.1,5.14,7,106.61
Pm380,F,AH,61.35,33.81,4.99,7.17,2.29,5.27,5.1,6.93,2.04,5.71,11.52,8.82,4.55,10.24,10.68,9,3.77,NA,6.98,6.69,13.12,5.17,7.05,104.92
Pm403,M,AH,71.11,32.97,6.33,8.56,3.52,NA,6.19,8.11,3.15,6.34,13.37,10.28,4.03,NA,13.1,11.86,4.34,11.98,8.76,10.15,17.86,7.02,9.77,132.15
Pm403,M,AH,71.18,33.56,6.36,8.54,3.29,NA,6.74,7.93,3.35,6.16,13.23,10.77,4.02,NA,13.07,11.86,4.08,12.02,8.92,10.14,17.89,6.82,9.82,132.62
Pm404,M,AH,69.18,31.13,5.85,8.35,3.09,6.85,6.63,7.48,3.26,7.52,12.47,11.44,5.94,12.15,13.01,11.39,4.22,10.49,6.87,8.38,16.84,5.8,8.86,135.69
Pm404,M,AH,69.27,31.6,6.01,8.12,3.43,7.07,6.78,7.68,3.21,7.42,12.93,11.57,5.56,12.25,12.74,11.36,4.1,10.81,6.92,8.2,16.76,5.57,8.98,136.67
Pm384,M,AH,62.44,27.55,6.62,8.31,3.11,7.14,7.72,8.84,4.03,5.88,13.42,11.49,5.67,13.01,13.29,12.19,4.89,12.46,8.07,8.52,17.2,7.22,9.5,134.22
Pm384,M,AH,63.29,27.71,6.96,8.54,3.16,7.38,7.12,8.61,4.01,5.98,12.37,11.67,5.41,13.02,13.18,12.04,5.04,12.74,8.88,8.19,17.16,6.38,9.55,136.81
Pm383,M,AH,67.82,34.52,5.71,7.63,3.91,6.95,7.08,8.09,3.58,7.29,13.11,12.04,5.74,10.95,11.78,11.53,5.06,12.99,7.93,8.95,17.44,6.54,8.94,48.71
